09:00:54: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 44] Logger initialized
09:01:00: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 86] Missed heartbeat
09:01:01: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 86] Missed heartbeat
09:01:02: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 86] Missed heartbeat
09:01:03: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 86] Missed heartbeat
09:01:04: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 86] Missed heartbeat
09:01:05: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 86] Missed heartbeat
09:01:06: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 86] Missed heartbeat
09:01:12: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 86] Missed heartbeat
09:01:14: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 86] Missed heartbeat
09:01:15: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 86] Missed heartbeat
