09:00:13: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 48] Logger initialized
09:00:13: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (0.0, 0.0, 4.0)
09:00:14: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (0.0, 0.0, 1.0)
09:00:14: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (0.0, 0.0, 0.6666666666666666)
09:00:15: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (0.0, 0.0, 0.5)
09:00:15: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (0.0, 0.0, 0.4)
09:00:16: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (0.0, 0.0, 0.3333333333333333)
09:00:16: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (0.0, 0.0, 0.2857142857142857)
09:00:17: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (0.0, 2.5, 0.25)
09:00:17: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (0.0, 4.444444444444445, 0.2222222222222222)
09:00:18: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (0.0, 6.0, 0.2)
09:00:18: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (1.8181818181818181, 5.454545454545454, 0.18181818181818182)
09:00:19: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (3.3333333333333335, 5.0, 0.16666666666666666)
09:00:19: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (4.615384615384615, 4.615384615384615, 0.15384615384615385)
09:00:20: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 114] Average velocity: (4.285714285714286, 2.857142857142857, 0.14285714285714285)
