08:58:53: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 44] Logger initialized
08:58:55: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 80] Missed heartbeat
08:58:57: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 80] Missed heartbeat
08:58:58: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 80] Missed heartbeat
08:58:59: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 80] Missed heartbeat
08:59:00: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 80] Missed heartbeat
08:59:01: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 80] Missed heartbeat
08:59:02: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 80] Missed heartbeat
08:59:03: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 80] Missed heartbeat
08:59:04: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 80] Missed heartbeat
08:59:05: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 80] Missed heartbeat
08:59:07: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 80] Missed heartbeat
08:59:09: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 80] Missed heartbeat
08:59:10: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 80] Missed heartbeat
08:59:11: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 80] Missed heartbeat
08:59:12: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 80] Missed heartbeat
08:59:13: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 80] Missed heartbeat
08:59:14: [WARNING] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 80] Missed heartbeat
